ref	current	kind	title	domains	verification	path
qeva:1:schema-separation@1	yes	axiom	Schema of separation	set-theory,foundations	editorial	objects/schema-separation.r1.json
qeva:1:sensitivity@1	no	definition	Sensitive dependence on initial conditions	dynamics,chaos,analysis	editorial	objects/sensitivity.r1.json
qeva:1:sensitivity@2	yes	definition	Sensitive dependence on initial conditions	dynamics,chaos,analysis	editorial	objects/sensitivity.r2.json
qeva:1:sequence@1	no	definition	Sequence	structure,number,dynamics	editorial	objects/sequence.r1.json
qeva:1:sequence@2	yes	definition	Sequence	structure,number,dynamics	editorial	objects/sequence.r2.json
qeva:1:set@1	yes	primitive	Set	set-theory,foundations	editorial	objects/set.r1.json
qeva:1:sigma-algebra@1	yes	definition	Sigma-algebra	measure-theory,probability	editorial	objects/sigma-algebra.r1.json
qeva:1:signal-noise@1	no	definition	Signal and noise	information,statistics,learning	editorial	objects/signal-noise.r1.json
qeva:1:signal-noise@2	yes	definition	Signal and noise	information,statistics,learning	editorial	objects/signal-noise.r2.json
qeva:1:stability@1	no	definition	Stability	dynamics,analysis,control	editorial	objects/stability.r1.json
qeva:1:stability@2	yes	definition	Stability	dynamics,analysis,control	editorial	objects/stability.r2.json
qeva:1:statement@1	yes	definition	Statement	logic,language	editorial	objects/statement.r1.json
qeva:1:subset@1	yes	definition	Subset	set-theory	editorial	objects/subset.r1.json
qeva:1:successor@1	yes	primitive	Successor	number-theory,arithmetic	editorial	objects/successor.r1.json
qeva:1:surjective-function@1	yes	definition	Surjection	set-theory,structure	editorial	objects/surjective-function.r1.json
qeva:1:symbol@1	yes	definition	Symbol	foundations,language	editorial	objects/symbol.r1.json
qeva:1:symmetry@1	no	definition	Symmetry	symmetry,structure	editorial	objects/symmetry.r1.json
qeva:1:symmetry@2	yes	definition	Symmetry	symmetry,structure	editorial	objects/symmetry.r2.json
qeva:1:theorem@1	yes	definition	Theorem	logic,proof	editorial	objects/theorem.r1.json
qeva:1:topological-space@1	yes	definition	Topological space	topology,analysis	editorial	objects/topological-space.r1.json
qeva:1:type@1	yes	primitive	Type	type-theory,foundations	editorial	objects/type.r1.json
qeva:1:universal-quantifier@1	yes	definition	Universal quantifier	logic	editorial	objects/universal-quantifier.r1.json
qeva:1:vector-space@1	yes	definition	Vector space	linear-algebra,geometry	editorial	objects/vector-space.r1.json
qeva:1:zero@1	yes	primitive	Zero	number-theory,arithmetic	editorial	objects/zero.r1.json
qeva:1:zfc-set-theory@1	yes	framework	ZFC set theory	set-theory,foundations	editorial	objects/zfc-set-theory.r1.json
